Participant,Video,NRMSE_pupil,NRMSE_gsr,NRMSE_fusion
Gftw5,HN_3_H,0.0065754004697045,0.0222400395092975,0.019728481719445
Gftw5,HN_5,0.0142271524851591,0.0586496005351997,0.022660703695866
Gftw5,HN_6,0.0399786437914117,0.022712358425271,0.0086665236083022
Gftw5,HN_7,0.0021408203043091,0.0297007759179848,0.0118670966797463
Gftw5,HP_1_L,0.0110271989483775,0.0414562977969727,0.0247499164739395
Gftw5,HP_3_L,0.0148883593939524,0.0449303219293283,0.0257701979648518
Gftw5,HP_7_L,0.0160691967275657,0.0655809402561693,0.0458992109540045
Gftw5,LN_2,0.0497192657637329,0.07396710828118,0.0554316744204986
Gftw5,LN_4,0.0754868795265788,0.0925995207125648,0.0814414858085024
Gftw5,LN_7_P,0.0293281274091517,0.0629071269225773,0.0281101537328978
Gftw5,LN_7_N,0.0541518072389589,0.0717364346052069,0.0689361474297432
Gftw5,LP_4,0.0694292483176001,0.0493120824253461,0.0413409028853576
Gftw5,LP_6,0.2030733358800231,0.0570539383411677,0.0568917564823538
Gr33d,HN_1,0.0165336909101187,0.0137615697881174,0.0070722259897958
Gr33d,HN_3_L,0.1377519663706301,0.0679675340836181,0.0585822164909348
Gr33d,HN_3_H,0.0113209164463599,0.0077316800344386,0.007021003937036
Gr33d,HN_5,0.0890079750311834,0.0588327286120259,0.0514732779907054
Gr33d,HN_6,0.1005203802978425,0.0166678555316327,0.0082159095245532
Gr33d,HP_1_L,0.0375319096576394,0.0303561494885857,0.0192501891777944
Gr33d,HP_2,0.0129703031424905,0.0100794015988961,0.0091226497496586
Gr33d,LN_2,0.0082545949068217,0.0209801758451153,0.0145513005239989
Gr33d,LN_7_P,0.0321753207684212,0.0144555647464368,0.0075533664302857
Gr33d,LP_2,0.0116680516554602,0.0186985042849444,0.0055750759039207
Gr33d,LP_6,0.1271234645688632,0.0386420200238452,0.0324276862699518
Hx7dO,HN_1,0.004419956255323,0.025170526848433,0.0205546417198848
Hx7dO,HN_2_L,0.0139793357445378,0.0337643493140082,0.0281626518874987
Hx7dO,HN_2_H,0.0267259427839798,0.0410978954047522,0.0395515447283971
Hx7dO,HN_3_H,0.0652075110512882,0.0510800604227811,0.048594438165051
Hx7dO,HN_4,0.0648090254081212,0.0385679565249639,0.0255521106435003
Hx7dO,HN_5,0.0455565838561382,0.0579230965889741,0.0097529341231686
Hx7dO,HP_1_H,0.0129853002177882,0.0395983440306717,0.0221242708381671
Hx7dO,HP_3_H,0.027176700832275,0.0439631627073104,0.0176895030859575
Hx7dO,HP_5,0.0312204280508414,0.0302146674303387,0.0274661057188605
Hx7dO,HP_6,0.0048818386533243,0.0271225302444297,0.018533014463244
Hx7dO,HP_7_H,0.0379347119789681,0.0334095420341085,0.0298357027909583
Hx7dO,LN_3,0.1110210462114798,0.0405041922644236,0.0191852364501257
Hx7dO,LN_6,0.070648538699599,0.0425143269446657,0.0239357662258518
Hx7dO,LP_1,0.0302394715778372,0.0319215249754291,0.0214151745906547
