participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
9FGka,HP_3_L,0.441277499,0.897052092,0.013616463,0.010978982,49.29888929,1813.889346,0.468119517,0.909410573,0.125009775,0.268048868
9FGka,HP_3_H,0.418467713,0.908230886,0.000647522,0.000297485,-0.206152629,-0.218532468,0.41974561,0.908945439,0.41679295,0.907641792
9FGka,HN_9,0.443290715,0.896232727,0.014304655,0.007075639,-1.046979303,-1.057911866,0.468818864,0.909414152,0.409053912,0.88329433
Fyt7d,LN_6,0.854994607,-0.074855274,0.271331177,0.024916884,1.815848765,1.310259759,0.996550165,-0.000137023,0.001623462,-0.092918303
Fyt7d,LP_9,0.765810653,-0.072547444,0.315053726,0.02600898,-0.385355006,0.511176926,0.99668772,-0.000189143,0.001655863,-0.098526788
Fyt7d,LN_2,0.913818903,-0.049755511,0.221834039,0.012922693,5.953785499,4.670677724,0.998673405,-7.95E-05,0.001580278,-0.056986265
Fyt7d,LN_3,0.841023001,-0.163971529,0.263032225,0.093155703,1.994946265,-1.434520177,0.997160903,-0.000110454,0.00160556,-0.262993291
Fyt7d,LP_6,0.820165696,-0.050975477,0.294277045,0.017679669,0.609611599,0.898174003,0.998166501,-9.61E-05,0.001600625,-0.06197362
Fyt7d,HP_5,0.713346417,-0.040434718,0.329352412,0.018919421,-0.949353187,-1.006958251,0.998427377,-8.25E-05,0.001580581,-0.057389139
Fyt7d,LN_4,0.854494435,-0.050255523,0.273717118,0.016111134,1.71863431,1.570244528,0.998346776,-0.000103303,0.001601004,-0.060608685
Fyt7d,LP_1,0.350508042,-0.02336246,0.20325421,0.014362312,-1.203350985,-1.246184122,0.702133791,-9.28E-05,0.001591066,-0.048512441
Fyt7d,HP_6,0.758181759,-0.042032911,0.319583866,0.017964718,-0.516040726,-0.575577422,0.998505868,-8.34E-05,0.001582216,-0.056365186
Fyt7d,LN_7_N,0.918722848,-0.059082792,0.215366983,0.014287785,6.66437626,5.970252643,0.998158363,-9.58E-05,0.001603531,-0.068646217
Fyt7d,LN_7_P,0.858597087,-0.05066387,0.270683935,0.015474237,1.90146398,2.195750245,0.998330155,-0.000116728,0.00166481,-0.060186565
Fyt7d,HN_5,0.854167234,-0.047483403,0.274186361,0.015471244,1.701433987,1.510800089,0.998504404,-8.62E-05,0.001581635,-0.056181024
Fyt7d,LP_5,0.820546974,-0.05013719,0.29499951,0.018460677,0.598670801,0.392150442,0.998183625,-0.000100531,0.001615848,-0.062469594
Fyt7d,HN_3_H,0.640089292,-0.03814286,0.331559839,0.019819767,-1.270566809,-1.27236333,0.9982635,-9.77E-05,0.001593982,-0.060136143
Fyt7d,HN_3_L,0.854657146,-0.048246412,0.273711246,0.01524562,1.723031322,1.839316485,0.998443571,-9.27E-05,0.001595303,-0.056921767
Fyt7d,LP_2,0.64175701,-0.036719328,0.332092256,0.018947524,-1.273287267,-1.275304844,0.998374399,-9.49E-05,0.001611043,-0.057204838
Fyt7d,LP_7,0.92985324,-0.054170929,0.202146695,0.011853559,8.435587978,8.315708829,0.998357292,-8.59E-05,0.00158091,-0.059588596
Fyt7d,HP_3_L,0.950583639,-0.059745525,0.17129534,0.013975223,14.1920603,4.111020987,0.998840253,-9.63E-05,0.001605193,-0.080172409
Fyt7d,HP_3_H,0.794075725,0.240889438,0.26678941,0.11555687,1.06005166,-0.948509913,0.966757291,0.356201307,0.002961696,0.001672349
Fyt7d,HP_9,0.959943052,-0.047581494,0.155945749,0.011980238,18.43529332,0.952102482,0.999598637,-8.46E-05,0.001582212,-0.059612182
Fyt7d,HP_2,0.902229359,-0.051461934,0.233856163,0.013286288,4.704708321,4.642013487,0.998458056,-9.77E-05,0.001606029,-0.058715575
Fyt7d,HN_9,0.958785925,-0.080680597,0.15142465,0.011831,18.81694701,20.3344354,0.996810255,-0.000137923,0.001805069,-0.087960483
Fyt7d,LN_1,0.902705602,-0.050454204,0.233252017,0.013128836,4.746529067,4.435305379,0.998542148,-0.000101866,0.001623794,-0.057062727
Fyt7d,HP_1_L,0.793672786,-0.051208305,0.307149491,0.020935121,0.028847216,-0.264300445,0.998074066,-8.43E-05,0.001579472,-0.067955711
Fyt7d,HP_1_H,0.347297259,-0.020825682,0.199913122,0.011532378,-1.200778238,-1.201843021,0.691604743,-0.000100578,0.001593768,-0.039813158
Fyt7d,HP_4,0.796887205,-0.048583263,0.30510768,0.018260267,0.090488786,0.195899491,0.998189366,-0.000110081,0.001652043,-0.060804269
Fyt7d,LN_9,0.713726426,-0.042214083,0.328837032,0.019825395,-0.940436077,-0.984393188,0.998284129,-9.06E-05,0.001610606,-0.060018504
Fyt7d,LP_3,0.893142515,-0.041091357,0.243847012,0.012328501,3.900517813,2.095499411,0.999250673,-8.60E-05,0.001612658,-0.050621456
Fyt7d,HN_4,0.774606459,-0.107379065,0.297708613,0.166465288,0.027251036,3.942361843,0.998534257,-9.31E-05,0.001604045,-0.603958851
Fyt7d,HN_2_H,0.902798054,-0.064825339,0.232142322,0.017207391,4.860468571,3.932955533,0.997721191,-0.000113927,0.001602686,-0.080215779
Fyt7d,HN_2_L,0.795751318,-0.051248519,0.305045952,0.020594208,0.064570705,-0.215898999,0.997963535,-9.34E-05,0.001639125,-0.067510711
Fyt7d,HN_6,0.858240084,-0.06076497,0.270894571,0.019383261,1.923601629,1.809681964,0.997588573,-0.000107675,0.001610249,-0.072377095
Fyt7d,LN_5,0.800081882,-0.057578374,0.303883016,0.022653661,0.144388208,-0.107560747,0.997498281,-0.000108874,0.001640871,-0.075173508
Fyt7d,LP_4,0.796958115,-0.048138554,0.305602626,0.01837642,0.089941053,0.05457509,0.99823009,-0.000102946,0.00160595,-0.060902258
Fyt7d,HN_1,0.58756789,0.451119183,0.216473864,0.554883478,-0.093597291,-0.77702862,0.999999219,0.890645159,0.001594018,-0.733898133
Fyt7d,HP_7_H,0.720234613,-0.046339253,0.329028077,0.021245768,-0.89751026,-0.880916423,0.998009181,-9.96E-05,0.001621528,-0.065140569
