participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
7yqP3,HN_7,,,,,,,,,,
7yqP3,HP_2,,,,,,,,,,
7yqP3,HN_6,,,,,,,,,,
7yqP3,HP_9,,,,,,,,,,
7yqP3,HP_4,,,,,,,,,,
7yqP3,HP_7_H,,,,,,,,,,
7yqP3,HP_7_L,,,,,,,,,,
7yqP3,LP_1,,,,,,,,,,
7yqP3,LP_6,,,,,,,,,,
7yqP3,LN_6,,,,,,,,,,
7yqP3,LN_9,,,,,,,,,,
7yqP3,LN_1,,,,,,,,,,
7yqP3,LN_5,,,,,,,,,,
7yqP3,LN_4,,,,,,,,,,
7yqP3,HN_5,,,,,,,,,,
7yqP3,HP_6,,,,,,,,,,
7yqP3,HN_3_H,,,,,,,,,,
7yqP3,HN_3_L,,,,,,,,,,
7yqP3,LN_7_N,,,,,,,,,,
7yqP3,LN_7_P,,,,,,,,,,
7yqP3,HN_2_H,,,,,,,,,,
7yqP3,HN_2_L,,,,,,,,,,
7yqP3,LP_9,,,,,,,,,,
7yqP3,HP_3_L,,,,,,,,,,
7yqP3,HP_3_H,,,,,,,,,,
7yqP3,LP_5,,,,,,,,,,
7yqP3,HN_4,,,,,,,,,,
7yqP3,LP_4,,,,,,,,,,
7yqP3,HN_1,,,,,,,,,,
7yqP3,HN_9,,,,,,,,,,
7yqP3,LP_3,,,,,,,,,,
7yqP3,HP_1_L,,,,,,,,,,
7yqP3,HP_1_H,,,,,,,,,,
7yqP3,LN_3,,,,,,,,,,
7yqP3,LP_7,,,,,,,,,,
7yqP3,LP_2,,,,,,,,,,
7yqP3,HP_5,,,,,,,,,,
7yqP3,LN_2,,,,,,,,,,
F5tXL,LP_6,0.0009520953745061682,-0.0006257353917134532,0.0005407628897426036,0.000835414974238686,4.019651728835655,19.58898955637487,0.0030142520837373515,-0.00016081320848695206,0.0003377804669498988,-0.006142446062187256
F5tXL,LN_1,0.0014592072008374356,-0.0020511754862400544,0.0015443646375701793,0.003596264686678413,9.711684393771048,10.133371471592783,0.01040928968187499,-0.00011777286443690054,0.00032765011844806057,-0.02335880232713407
F5tXL,LP_5,0.1929540508032639,0.5664841320566721,0.03692992106788363,0.21237189846630755,3.3861875463644724,2.5542661328100955,0.3465343185416836,0.7737910221069031,0.11707480328591274,-0.05418804605613778
F5tXL,HP_3_L,0.10763268111679614,0.3228719852183189,0.12990627719498135,0.3940614518256631,-1.2893441451543641,-1.739914556241146,0.4093359805493392,0.9064727883972719,0.00034380108545193597,-0.014580489960982936
F5tXL,HP_3_H,0.25687734556171216,0.7357549591550653,0.04957759497370332,0.13006909704802272,-1.1125214419813185,-1.0585434896304142,0.3564178206723059,0.8818525546743314,0.1735238521590648,0.4454041460368954
F5tXL,HN_2_H,0.014381396098253242,-0.003924531899493805,0.009858749823655928,0.002203908248549773,12.522094507372323,15.985525830056798,0.07693385428827292,-0.0013344035671117264,0.004037318469851999,-0.021242384789601804
F5tXL,HN_2_L,0.13510176513394584,0.0692032512947811,0.09762607911381536,0.18994823239034214,-0.973759914824702,6.091457012400202,0.394865857586521,0.7234760317694183,0.010787831225049789,-0.04411217453797756
