participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal,FER_iM_Mean_Valence
LR96S,HP_5,0.0009628000349330076,-5.636946588188222e-05,0.0007336819363618244,0.00021197976882796733,-0.4874980180728894,1.033424688821711,0.0026524708159556217,0.00019767475840238766,0.00030600583189929856,-0.0007513171622675898,0.0
LR96S,HP_6,-0.0986932966014302,0.17142516993054066,0.14106238885414737,0.23624039856390833,0.1349264264972052,0.04154173779992876,-0.4462713021086507,0.745879035080681,0.0,0.0005042661659250607,0.0
LR96S,HP_7_H,0.004996141994620005,0.021422542613657322,0.03156672891121198,0.06714267992954823,14.547880149535757,15.133921642779267,0.1726054838448187,0.38667103737281194,0.0,-0.0009438181907013451,0.0846264770451714
LR96S,HP_7_L,0.0003566900298827459,6.010275065033715e-05,0.00017845339772602903,8.079496936961039e-05,-0.03744634569854188,1.7913677879559602,0.000845985315801522,0.00015880523537638059,0.00011660861585804824,-0.00020792598015229456,0.0
LR96S,HP_8,0.001948913477169333,3.03679117571416e-05,0.00432927781514837,0.006125242985969191,62.70901630339958,133.07069949465978,-0.05057129268014166,0.08980633908313941,0.0,-0.012707665814153323,0.0
LR96S,LN_1,0.0008661535491508935,-0.00012263178619846565,0.00038807946659583797,0.00015435593593808526,-0.4521059360531363,-0.18376933924852068,0.002005663639831122,0.00012142503760449929,0.0002206184195281618,-0.0005983341447582373,0.0
LR96S,LN_2,0.0014414634318082077,-0.0003111961059352207,0.0009141558458472257,0.0004254066329737532,1.5407162287821894,3.559901728411531,0.005088176935474499,7.264675227500712e-05,0.00039957424810548985,-0.0023518461586335433,0.0
LR96S,LN_3,0.00046840946370399565,4.997224307997268e-05,0.0004542964112668246,0.00027402807860241906,2.8097759963355085,4.469670321490273,0.002132432064891112,0.001144970981598125,0.0,-0.0008147351301201789,0.0
LR96S,LN_4,0.0006667355928508265,3.928918641100883e-05,0.00033112683533745844,0.00011328407288740524,0.04870386075381017,-0.4654725211775568,0.001711812341627067,0.000248776165431401,0.000267831152849415,-0.000273599169535285,0.0
LR96S,LN_5,0.0006282845740809115,1.7058286723635392e-06,0.00017106781932052137,5.337842736347964e-05,-0.28710571373932625,0.14849020323968176,0.001091651938090979,9.340824652209378e-05,0.0003390271289157397,-0.00014798042815219962,0.0
LR96S,LN_6,0.00015716042601317135,0.0001433148077943123,4.435137842839593e-05,1.941064069288028e-05,5.605458289852978,3.610415952644736,0.0003651938567008104,0.00016857259710000719,0.0001130460095533062,6.282001372909956e-05,0.0
LR96S,LN_7_N,0.0005231715704180621,9.141238680601292e-06,0.0005371247147271795,0.00022666129386760345,8.378160825534733,12.527028788624976,0.003524629664690497,0.0001498355716295834,0.00014816502393213228,-0.0013814604345629609,0.0
LR96S,LN_7_P,0.0003335628993304905,7.731170843591593e-05,0.00034458737886416317,0.00013645074204501138,6.653261107028353,7.982792178845649,0.002000832141344428,0.00016098843713382332,0.00013249528644702213,-0.0006319669829234708,0.0
LR96S,LN_8,0.0009036938598476855,-0.0002278867306094099,0.0011181242848201103,0.0005981113267260145,1.1598531657366165,2.1078390177817026,0.004206535672994715,0.00013662580194512478,0.00016715898047319882,-0.0021436616054713647,0.0
LR96S,LP_1,0.0005920579656326912,0.0011506704698908748,0.000563994318513408,0.0014705249776603446,0.7371073270485771,3.6103007955389694,0.0014320985833579602,0.005975148082887941,0.0,5.6635414571536425e-06,0.0
LR96S,LP_2,0.0030123599845599714,-0.0011950614821188278,0.0022523528231392395,0.0012731281101504056,-0.5556354545801385,0.17353281026059486,0.008092175252321048,7.67034782771439e-05,0.00040831249922112817,-0.004607295503961132,0.0
LR96S,LP_3,0.00043332090959684484,7.386986396179334e-05,0.00019430809170547774,7.148909083107876e-05,0.7067143543473433,1.1676800790802053,0.0010673443070835507,0.00018744231572266759,0.0001212966799239432,-0.00018283004094049593,0.0
LR96S,LP_4,-0.028065717227676586,0.049790013132351596,0.10106736347778647,0.17060629327515967,11.680989885318747,11.23089661665449,-0.46722170085872605,0.7810703108981583,0.0,-0.00047336767866569985,0.00031118734118839106
LR96S,LP_5,0.003673683436783998,-0.0019885177532857393,0.0036688265422128454,0.0026033893866421486,0.8199594173424787,2.0991771738577993,0.015747659176499337,0.00011096052162488689,0.0002674848015893182,-0.011499031604776956,0.0
LR96S,LP_6,0.0018150823501946786,-0.0006128679807042372,0.0014167403051138846,0.0007866143628525633,2.739571304001587,5.2903803481204115,0.007834289398678246,0.00013551206225703876,0.00023167478276577176,-0.0044209646274337615,0.0
LR96S,LP_7,0.001214032028277046,-0.0002977052599074305,0.0017952913573436073,0.0011350369110288308,33.75105382852348,41.68273616895404,0.01619080161372644,0.00016528599217419912,0.000148337283168399,-0.010462206215326723,0.0
LR96S,LP_8,0.0017469251087473612,-0.0005202688552298977,0.002388708573662746,0.001199791625053331,3.428186846757481,5.2257806929817825,0.010425842261170003,0.00016550283914108294,0.00017662853346610163,-0.005365379127578285,0.0
gf5X,HN_1,0.0032366520403671996,-0.0018329687015284013,0.00534552193639339,0.0035357678802017357,1.1222585082372198,1.5690287059732517,0.019715885415616398,0.00016182716629789445,9.946948232617606e-05,-0.01327691896399058,0.0
gf5X,HN_2_H,0.08091347949684516,0.0905749776104044,0.1268900393161414,0.303721329015617,2.0513441836545763,3.1963087762959113,0.40970314269882,0.9070640716977,0.00010246712716834406,-0.34397156804236706,0.0549408005733116
gf5X,HN_2_L,0.0017786358153758033,-0.0008349568657328101,0.0029141401579567032,0.0018817415190336988,4.823821215627861,6.517707298799889,0.013695874341726411,0.0001724427588442005,9.707918861275655e-05,-0.00905022085273598,0.0
gf5X,HN_3_H,0.1068062616954417,-0.03924435245352419,0.06875912041926388,0.022925039752174543,-0.7267849188992814,-0.5265234372966474,0.24473119346617525,0.003625873610750122,0.0,-0.06888719969543558,0.0
gf5X,HN_3_L,0.03505389697766062,-0.018660617694064057,0.03421985335084181,0.015094063383036711,2.7007196689757436,-0.7535135002091993,0.18883640454185793,0.0007868582878308003,0.0,-0.06094085367479654,0.0
