Participant,Video,NRMSE_pupil,NRMSE_gsr,NRMSE_fusion
4FoNM,HN_1,0.1596921272584899,0.044710380124571,0.0349635185327444
4FoNM,HN_2_H,0.0004306513790371,0.0583110377032485,0.0432964671391974
4FoNM,HN_3_H,0.0875924987776306,0.0827642976527441,0.0529774335612458
4FoNM,HN_5,0.3429223869683339,0.0820028001093049,0.0490734997472857
4FoNM,HN_7,0.1232118306399443,0.0965512654632454,0.0445750056396788
4FoNM,HP_1_L,0.0149095916091115,0.0216743590046741,0.0091204599252673
4FoNM,HP_3_H,0.0498642202672852,0.069441540002078,0.0094246895401827
4FoNM,HP_4,0.1303263584313037,0.0162514925162856,0.0103629737385414
4FoNM,HP_6,0.0130804878694471,0.021848367768466,0.0017291504260483
4FoNM,HP_7_H,0.067123363956066,0.0370541822498371,0.0123618919249642
4FoNM,LN_2,0.0891728634287382,0.0267514909579485,0.0173208352099159
4FoNM,LN_4,0.0457488258339427,0.0195843420129636,0.0172666979852623
4FoNM,LN_7_N,0.0023731870206889,0.0371862934230045,0.0132356959818868
4FoNM,LP_1,0.0508665574828166,0.0391496983243691,0.0145517346148713
4FoNM,LP_2,0.0153854806886018,0.0355455679141353,0.0157428866124459
4FoNM,LP_7,0.0374470588316654,0.015279858559688,0.0136258038067421
5KB3V,HN_2_L,0.0452073224630517,0.0956596909354473,0.0813376934137592
5KB3V,HN_3_H,0.1603188523933458,0.1588290429407066,0.1114273545309116
5KB3V,HN_4,0.2503364731972864,0.0936531335246653,0.0604623836433618
5KB3V,HN_5,0.1339581849487423,0.1307868683520925,0.1231458491374403
5KB3V,HP_1_H,0.0688523538066198,0.0602070955585563,0.041068922450391
5KB3V,HP_2,0.1352119413184558,0.2318139370811265,0.1400367961370709
5KB3V,HP_3_L,0.0648061987004218,0.0858041425019531,0.0428512174983407
5KB3V,HP_5,0.0658093437883111,0.0242673316909471,0.0235242731393446
5KB3V,LN_1,0.0139812104750709,0.0188948252415193,0.0149814719751394
5KB3V,LN_2,0.1451265914792533,0.0947439086702527,0.0584658209122217
5KB3V,LN_4,0.05962844449621,0.0321727363364254,0.0243982938963045
5KB3V,LN_5,0.0196527532902382,0.0542999064267341,0.0409843995507484
5KB3V,LN_7_N,0.0779104823452151,0.0798932747194922,0.0392471205940517
5KB3V,LP_1,0.0689606811507127,0.2066252782406774,0.0928954326184638
5KB3V,LP_6,0.0308694776870059,0.0131726142592558,0.0091016096445805
5KB3V,LP_7,0.1195887458626666,0.0781553241571836,0.0486234075704962
6GSd4,HN_1,0.0845332639925833,0.1838554290673835,0.1284992553564231
6GSd4,HN_2_L,0.0004925627961299,0.0790573365795138,0.0642396605382423
6GSd4,HN_3_L,0.0536582399891056,0.0330117223657721,0.0166074496547705
6GSd4,HN_3_H,0.0842066681230542,0.1459044155532343,0.1360269652766042
6GSd4,HN_6,0.0665317179053665,0.212481272564014,0.1893228601829019
6GSd4,HP_1_L,0.0772039451375997,0.1231971542583305,0.0960670966077171
6GSd4,HP_2,0.0938860913419339,0.1612173769422432,0.0843884123972851
6GSd4,HP_3_H,0.0808363447025692,0.1190869531599246,0.0894129914191835
6GSd4,HP_4,0.0396890432347465,0.1218954206897088,0.0974246529431836
6GSd4,HP_7_L,0.0804390775137561,0.1255439740659935,0.0972399002749123
6GSd4,HP_7_H,0.1126763041911139,0.1190474670383219,0.0920324525650645
6GSd4,LN_3,0.054871102585882,0.297856504615872,0.1551420082162299
6GSd4,LP_1,0.0178951050900313,0.1499654305732042,0.1053825217119757
6GSd4,LP_2,0.0848155615260427,0.1179197542567938,0.0886420575679746
6GSd4,LP_3,0.1019662855822658,0.1793098938527094,0.0745863485260488
6GSd4,LP_4,0.0520723328160358,0.1110552181279208,0.0796482667024122
6GSd4,LP_5,0.0447185271662535,0.1638897357028586,0.0959009174983861
6GSd4,LP_6,0.051958964234081,0.0944873919915001,0.09030040828337
6GSd4,LP_7,0.0202118219353272,0.1002934227054619,0.0997840305683541
7yqP3,HN_1,0.0832210493012204,0.1995633420103377,0.1603127313566869
7yqP3,HN_3_L,0.0260085489852162,0.0617953361330013,0.0424771067520164
7yqP3,HN_5,0.2186116663734896,0.1325465084026253,0.1252374016092431
7yqP3,HN_6,0.2906965846084542,0.236270397390102,0.2017336912981341
7yqP3,HP_3_H,0.1076656325066121,0.1110546622816276,0.0904545442389805
7yqP3,HP_4,0.1037465248689359,0.1060329300546015,0.1023863075648742
7yqP3,HP_7_L,0.1456695173728129,0.1053079608387099,0.0905704262169383
7yqP3,LN_1,0.0313907506209178,0.0205001022602487,0.0154004378196044
7yqP3,LN_3,0.0260408902401599,0.3014909484931553,0.1799627922208464
7yqP3,LN_6,0.0946100267473825,0.0161728098282932,0.0077661811344761
7yqP3,LN_7_P,0.0057522178246339,0.0982996866119822,0.0783308756943333
7yqP3,LP_1,0.0332631608740853,0.1148021948539796,0.08680854477207
7yqP3,LP_2,0.098361113955996,0.0905374332269829,0.0888854610429267
7yqP3,LP_3,0.036561116878586,0.1424149716884951,0.0946581723155728
7yqP3,LP_4,0.0567302466627108,0.1020573148477178,0.0883989397552369
7yqP3,LP_5,0.0778888067287302,0.1391521288106175,0.0954492165110878
A5feTy,HN_1,0.1944146260536467,0.31239510606809,0.181240394851432
A5feTy,HN_6,0.0951292191115449,0.1228346084319178,0.0851284704114191
A5feTy,HP_1_L,0.1099949393865166,0.0991692338425365,0.0932278201450087
A5feTy,HP_2,0.0858115526765292,0.1663282738966023,0.0907379847061652
A5feTy,HP_3_H,0.10028696558794,0.1090283021092151,0.0925895501641472
A5feTy,HP_4,0.0972454550485695,0.1182083067192257,0.1049302200424904
A5feTy,HP_7_L,0.0582823367034246,0.1182684272927467,0.0932373161685663
A5feTy,HP_7_H,0.1041217566687641,0.107232364055194,0.0994446979501662
A5feTy,LN_3,0.0319028769106261,0.2640555476257102,0.172381286138976
A5feTy,LP_2,0.1186857800255033,0.1140164684853453,0.0963023392760105
A5feTy,LP_3,0.3167711830684855,0.1560004001345585,0.1050225207761654
A5feTy,LP_5,0.0771025564177722,0.1055330600222394,0.0843614238575633
Bs73,HN_1,0.0709376481600129,0.2815632598657498,0.1404780153022089
Bs73,HN_2_H,0.0574505005417243,0.1415969337704523,0.1113203316708389
Bs73,HP_1_L,0.0974411011241889,0.0974479235977558,0.0731918272368871
Bs73,HP_2,0.0591367365346571,0.134319981698691,0.0605893678340203
Bs73,HP_3_H,0.092509727828344,0.0671077130526121,0.0601089977821289
Bs73,LN_1,0.0468507456504856,0.0400866958994381,0.0332262432530559
Bs73,LN_3,0.0368264363219935,0.2201055880749137,0.1343722337300162
Bs73,LP_1,0.0471819087440575,0.0978320588083653,0.0685160560058534
Bs73,LP_2,0.0698859459347731,0.0767406366584374,0.0589281034593794
Bs73,LP_3,0.0713055748195719,0.1339631550822004,0.0617218116179674
Bs73,LP_4,0.0090697817424895,0.0801838482378697,0.0528883131992787
Bs73,LP_5,0.1002872177104248,0.1006468706389666,0.0607899934927955
Bs73,LP_7,0.0342827519192505,0.1731636719249743,0.1050864184076301
CVgs2,HN_2_L,0.0189115930000076,0.0448567450290073,0.0224732919253155
CVgs2,HN_2_H,0.1258666521362689,0.1609635998719507,0.0960630000336383
CVgs2,HN_3_L,0.0023139131056156,0.0476460867292814,0.024874664274204
CVgs2,HN_3_H,0.2020930620368566,0.165197995177241,0.1364627017616388
CVgs2,HN_4,0.1605847076727967,0.0970985929780239,0.0593032697838028
CVgs2,HN_5,0.1321404842954589,0.190997653335373,0.1353686086467304
CVgs2,HN_7,0.1422398819812534,0.1046776604330046,0.103725967971102
CVgs2,HP_1_H,0.0867704970393617,0.0878294661101957,0.0392739629992421
CVgs2,HP_1_L,0.0347017539217964,0.0871463187656479,0.0570539772403268
CVgs2,HP_3_L,0.0347402698354976,0.0916317687480162,0.0363272818567172
CVgs2,HP_3_H,0.0869369515015431,0.0720598056419029,0.0686715004767308
CVgs2,HP_4,0.1646072538782532,0.0636208220914387,0.060942700313959
CVgs2,HP_5,0.0291828455947754,0.0995641659413013,0.0364750550049114
CVgs2,HP_6,0.044692806632027,0.0716099930716891,0.0527719595792216
CVgs2,HP_7_H,0.0045659245893285,0.0845553755948726,0.0640192164500892
CVgs2,LN_2,0.0669918059115729,0.0581732888300626,0.0257422149628619
CVgs2,LN_4,0.044000118745832,0.0950259962665084,0.0564520778482396
CVgs2,LN_5,0.0289834749846409,0.0550111956171638,0.0318123377935119
CVgs2,LN_6,0.0604270017408038,0.0772114817890146,0.0557990985186838
CVgs2,LN_7_P,0.0166330501167568,0.0182378879078332,0.014557451862577
CVgs2,LN_7_N,0.0160312055772749,0.1098210923493945,0.0418323933768358
CVgs2,LP_2,0.1068204298657044,0.1173820843995695,0.0895076210655346
CVgs2,LP_6,0.0188997087193438,0.0958069276278026,0.0410378486694886
CVgs2,LP_7,0.087628918321369,0.0976422270578954,0.053990635790855
CoQmx,HN_1,0.0777906513284707,0.203289773432682,0.1471311154229561
CoQmx,HN_6,0.0893340842335224,0.1161088906879858,0.1051343198403495
CoQmx,HP_2,0.0396601260513971,0.071369278640757,0.0624406433636182
CoQmx,HP_4,0.1144754621295744,0.0896218152266184,0.0844155004778603
CoQmx,LN_3,0.0672547367853257,0.1413165467544135,0.1161874370785024
CoQmx,LP_1,0.0668910541192234,0.3238700842855688,0.2544266447029964
CoQmx,LP_3,0.0158261505539521,0.1341229206588278,0.0660611204705221
CoQmx,LP_4,0.0830915047618777,0.0797551971969011,0.0679681772550201
CoQmx,LP_5,0.0387805676556427,0.0855603235272807,0.0657915110453207
Cr1sTi,HN_2_L,0.0315736570401452,0.1078861016520294,0.0489267906337614
Cr1sTi,HN_2_H,0.0508360541913754,0.1006177637272579,0.0300263145330116
Cr1sTi,HN_3_H,0.0103682364257258,0.0846485252908208,0.0189775522414465
Cr1sTi,HN_4,0.0639786751623166,0.0859255101119227,0.0350947046435664
Cr1sTi,HN_5,0.2741056145712676,0.0627151808732165,0.0271619186541699
Cr1sTi,HP_1_L,0.0570043960130627,0.1241006256206446,0.0704394942848285
Cr1sTi,HP_2,0.0523397014924872,0.3135397470071089,0.0420716286860309
Cr1sTi,HP_6,0.0215606004617574,0.0166259652359709,0.0088034708721452
Cr1sTi,HP_7_L,0.0379984624976733,0.0210960016099019,0.0106446291313619
Cr1sTi,HP_7_H,0.0207026010443667,0.0402960093589529,0.008005880152224
Cr1sTi,LN_1,0.0899185347001768,0.0566670992294967,0.0301870098861211
Cr1sTi,LN_2,0.000382072704236,0.0997583041957228,0.0362373842853042
Cr1sTi,LN_4,0.0013316278958792,0.0539246626145591,0.0328743265574141
Cr1sTi,LN_5,0.0194788140522226,0.0239633257103935,0.0144556023874285
Cr1sTi,LN_6,0.1260683342798611,0.0509708445581005,0.0147370015828056
Cr1sTi,LN_7_N,0.021641237304681,0.0975198565952292,0.0163953768355874
Cr1sTi,LP_1,0.0289326711672341,0.0615316754311033,0.0270131649529534
Cr1sTi,LP_2,0.0136114829076311,0.0279971787516885,0.0168228095207638
Cr1sTi,LP_6,0.0229688532162015,0.0403093901145381,0.0170688290685208
D9Hh9,HN_2_H,0.1893853343298827,0.0840318955649708,0.0429155207040293
D9Hh9,HN_3_H,0.08902271666924,0.0690087885544668,0.0401356520411965
D9Hh9,HN_4,0.0676350660002465,0.1676474423022289,0.1197241727116
D9Hh9,HN_5,0.1330893529707513,0.0242525973163389,0.0182073245526608
D9Hh9,HN_6,0.3081399196907485,0.0340949970917104,0.0115934720378514
D9Hh9,HP_2,0.1415319259025897,0.0513672180382216,0.0280222695093973
D9Hh9,HP_3_H,0.0211177109490006,0.0199510537405538,0.0172541929078406
D9Hh9,HP_4,0.1074491218151334,0.0197907303167847,0.0033448596800553
D9Hh9,HP_6,0.162335767150519,0.0184337430123731,0.0096916462066569
D9Hh9,HP_7_L,0.0075552820418783,0.0189313492055961,0.0113900504581401
D9Hh9,HP_7_H,0.0651067812006848,0.014489995532073,0.0121183580125029
D9Hh9,LN_2,0.1146357226358228,0.0569849302508354,0.0301572369760098
D9Hh9,LN_7_P,0.0361906506298101,0.0157212034012226,0.0104057441062132
D9Hh9,LN_7_N,0.0554753189885471,0.0600548899190995,0.015851958121398
D9Hh9,LP_1,0.0139028796406614,0.0354176525656399,0.0076798805574626
D9Hh9,LP_2,0.03386326230742,0.0238269926503561,0.0078397457248224
D9Hh9,LP_5,0.0984726550258987,0.0379581944569169,0.0182771938307906
D9Hh9,LP_7,0.0597516724224663,0.0250047043069871,0.0109775993938363
Dwf5T,HN_1,0.0730722305004758,0.1458285290378226,0.1065520084516979
Dwf5T,HN_2_L,0.026869166652644,0.0503050546905751,0.0236746186506678
Dwf5T,HN_2_H,0.0776902642771935,0.0871838541843385,0.0391821291005347
Dwf5T,HN_3_H,0.0684354880413731,0.0831820211656147,0.0388685019713411
Dwf5T,HN_6,0.4344898155487052,0.0479441318585813,0.0351293170173553
Dwf5T,HN_7,0.0875376189429077,0.0580987630860673,0.025974993481075
Dwf5T,HP_1_L,0.0014036628946894,0.0608436679748812,0.0558215111348663
Dwf5T,HP_3_H,0.0795721982592578,0.0826640627547282,0.045984968560703
Dwf5T,HP_4,0.0773235152488361,0.08050069442377,0.043933602823139
Dwf5T,HP_6,0.0447907274934458,0.0611917311055045,0.056278526501863
Dwf5T,HP_7_H,0.0864140135321803,0.0636299248516772,0.0479187124178391
Dwf5T,LN_1,0.0537463468085178,0.0911046013919495,0.0360313484488627
Dwf5T,LN_5,0.0400681288265732,0.0355772681438726,0.031548539830547
Dwf5T,LP_1,0.045844704505718,0.0802597762698935,0.0523321522228378
Dwf5T,LP_2,0.0280085329344701,0.0448440808078145,0.0429699853584434
Dwf5T,LP_4,0.040876221871451,0.0519368504308748,0.028579802120146
ERqc8,HN_1,0.2085563190536142,0.0932853908376123,0.0451676224604454
ERqc8,HN_2_H,0.0936022126375491,0.0827827522642123,0.0521510846300984
ERqc8,HN_3_L,0.0497146439078415,0.0267659806033048,0.0199010897908552
ERqc8,HN_3_H,0.0283115789245332,0.0451085527836194,0.02668002920808
ERqc8,HN_4,0.3712844164446219,0.0532977785870154,0.0263687007208884
ERqc8,HN_5,0.0269246929967503,0.0419494536264097,0.0288362164653813
ERqc8,HN_6,0.313206145975147,0.0218851797048303,0.0184535831870659
ERqc8,HP_1_L,0.0012259610268397,0.0259720209017258,0.0068125095123224
ERqc8,HP_3_L,0.0580907192524853,0.0242880982557579,0.0031878799405187
ERqc8,HP_4,0.0180739142783229,0.0131288325444565,0.0017043668123479
ERqc8,HP_6,0.1161918880256298,0.0494835763216324,0.0275317290724935
ERqc8,HP_7_H,0.0141632320908719,0.0141717290861343,0.0116739063052924
ERqc8,LN_2,0.015234605437084,0.0377085516510965,0.0223885495588286
ERqc8,LN_7_N,0.0042133733643445,0.0671373707580931,0.0112111534943818
ERqc8,LP_6,0.00184580114414,0.0448125920366463,0.0136309546814529
ERqc8,LP_7,0.0147541743051815,0.0477120963790994,0.0144768827431399
EXAMPLE,HN_1,0.3839373137072936,0.2819813978017928,0.2488079591587495
EXAMPLE,HN_2_L,0.0254217402854273,0.0497030039773108,0.0306030999802406
EXAMPLE,HN_3_L,0.0192248448298178,0.0125925547163778,0.0124511052562012
EXAMPLE,HN_3_H,0.035417448598685,0.2416957260543898,0.1244269422106005
EXAMPLE,HN_4,0.4142222116266973,0.2058510660201143,0.1927597041328612
EXAMPLE,HN_5,0.2311202810669985,0.1282848587715392,0.083697626430032
EXAMPLE,HN_7,0.2183272485753089,0.1265610138654661,0.1097666899008855
EXAMPLE,HP_1_H,0.0299208710372845,0.0509012488387191,0.0300693990223883
EXAMPLE,HP_1_L,0.0289141175501697,0.0693256674787485,0.0502010385848542
EXAMPLE,HP_2,0.0930372601328424,0.3282491496334904,0.2302572932957289
EXAMPLE,HP_3_H,0.1177954558886488,0.0769222592982788,0.0695518170387441
EXAMPLE,HP_4,0.0690341568975342,0.3177925169136534,0.2791193915755917
EXAMPLE,HP_6,0.0470385010787252,0.3325862730708898,0.314170619184733
