,count
pupil_better_than_gsr,698
gsr_better_than_pupil,1021
fusion_better_than_pupil,1026
fusion_equal_to_pupil,0
fusion_worse_than_pupil,693
fusion_better_than_gsr,863
fusion_equal_to_gsr,0
fusion_worse_than_gsr,856
