Participant,Video,Modality,RMSE,NRMSE
5KB3V,HN_1,Fusion,0.09744938306623731,0.10931681668562922
5KB3V,HN_2_L,Fusion,0.04061492413303161,0.04556102949500988
5KB3V,HN_2_H,Fusion,0.009643280966353085,0.010817644447582658
5KB3V,HN_3_L,Fusion,0.03835139613527195,0.04302184794856855
5KB3V,HN_3_H,Fusion,0.006943718355355122,0.007789327779048642
5KB3V,HN_4,Fusion,0.012010140731903832,0.013472741555128592
5KB3V,HN_5,Fusion,0.044948583482451954,0.05042244400346849
5KB3V,HN_6,Fusion,0.07504225658623793,0.0841809393635443
5KB3V,HN_7,Fusion,0.009223608385259985,0.010346863933927112
5KB3V,HP_1_H,Fusion,0.02785090503161706,0.03124260189313589
5KB3V,HP_1_L,Fusion,0.007969297363777984,0.008939802301644512
5KB3V,HP_2,Fusion,0.0060811534254443175,0.006821719269321903
5KB3V,HP_3_L,Fusion,0.00453951995972594,0.005092344924757628
5KB3V,HP_3_H,Fusion,0.045157944311228715,0.050657300896559176
5KB3V,HP_4,Fusion,0.017230629416648328,0.01932898390990793
5KB3V,HP_5,Fusion,0.02108167306684713,0.023649009542815142
5KB3V,HP_6,Fusion,0.02914593118011905,0.03269533696055713
5KB3V,HP_7_L,Fusion,0.009666763759632602,0.010843986986934175
5KB3V,HP_7_H,Fusion,0.018056565096349765,0.020255502441386707
5KB3V,LN_1,Fusion,0.051253510483169056,0.057495188103707545
5KB3V,LN_2,Fusion,0.009272704078869152,0.010401938525160585
5KB3V,LN_3,Fusion,0.005939658030048093,0.006662992495342471
5KB3V,LN_4,Fusion,0.015351691997941294,0.017221228571683227
5KB3V,LN_5,Fusion,0.030411593003126965,0.034115131700537295
5KB3V,LN_6,Fusion,0.04875935640980278,0.0546972947251669
5KB3V,LN_7_P,Fusion,0.01042573176201286,0.011695382484533855
5KB3V,LN_7_N,Fusion,0.02173297984567226,0.02437963278030183
5KB3V,LP_1,Fusion,0.015016534488217926,0.01684525541620067
5KB3V,LP_2,Fusion,0.013451955115120198,0.015090140800413036
5KB3V,LP_3,Fusion,0.021007574779672692,0.023565887529920906
5KB3V,LP_4,Fusion,0.015255262873204143,0.01711305626088592
5KB3V,LP_5,Fusion,0.06822964117813961,0.07653868031290902
5KB3V,LP_6,Fusion,0.06457309058446209,0.07243683319624662
5KB3V,LP_7,Fusion,0.0343566936676198,0.03854066865702661
6GSd4,HN_1,Fusion,0.00852312832036862,0.009561079063502445
6GSd4,HN_2_L,Fusion,0.01537876250200051,0.01725159573499115
6GSd4,HN_2_H,Fusion,0.014960528600399132,0.01678242910392077
6GSd4,HN_3_L,Fusion,0.01336629122032467,0.01499404471453454
6GSd4,HN_3_H,Fusion,0.029421358926640204,0.033004306433007495
6GSd4,HN_4,Fusion,0.007655258833174395,0.00858752000490711
6GSd4,HN_5,Fusion,0.01131945100305393,0.01269793929266572
