modality,nrmse,r2,corr,p
FER,0.2367326983249073,0.07625491928148997,0.2817883183957278,2.1856417490838024e-26
Pupil,0.24106454773995806,0.04213934900070271,0.2053721372098062,1.707156431473407e-14
GSR,0.4518619644036531,-2.3654815502109434,0.1858861801023576,4.22422002727467e-12
