modality,nrmse,r2,corr,p
FER,0.25074408157492356,0.0007873810234273471,0.10364989385237504,0.00012278961233890505
Pupil,0.23041205950787044,0.1562633004217323,0.395361474901105,2.0802763896006567e-52
GSR,0.5278641086716771,-3.428338347200521,0.1956472022639012,2.870238547879e-13
