sec,R_%,G_%,B_%,lux
216,10,80,70,25
217,10,80,80,29
218,10,80,90,33
219,10,80,100,36
220,10,90,0,26
221,10,90,10,26
222,10,90,20,26
223,10,90,30,27
224,10,90,40,29
225,10,90,50,30
226,10,90,60,31
227,10,90,70,33
228,10,90,80,37
229,10,90,90,41
230,10,90,100,44
231,10,100,0,29
232,10,100,10,29
233,10,100,20,29
234,10,100,30,29
235,10,100,40,30
236,10,100,50,31
237,10,100,60,33
238,10,100,70,36
239,10,100,80,39
240,10,100,90,43
241,10,100,100,46
242,20,0,0,1
243,20,0,10,1.25
244,20,0,20,1.5
245,20,0,30,1.75
246,20,0,40,2
247,20,0,50,3
248,20,0,60,5
249,20,0,70,7.5
250,20,0,80,11
251,20,0,90,15
252,20,0,100,18
253,20,10,0,1
254,20,10,10,1.25
255,20,10,20,1.5
256,20,10,30,1.75
257,20,10,40,2
258,20,10,50,3
259,20,10,60,5
260,20,10,70,7
261,20,10,80,11
262,20,10,90,15
263,20,10,100,18
264,20,20,0,1
265,20,20,10,1
266,20,20,20,1
267,20,20,30,2
268,20,20,40,2
269,20,20,50,3
270,20,20,60,5
271,20,20,70,8
272,20,20,80,11
273,20,20,90,15
274,20,20,100,18
275,20,30,0,2
276,20,30,10,2
277,20,30,20,2
278,20,30,30,3
279,20,30,40,3
280,20,30,50,4
281,20,30,60,6
282,20,30,70,8
283,20,30,80,12
284,20,30,90,16
285,20,30,100,19
286,20,40,0,3
287,20,40,10,3
288,20,40,20,3
289,20,40,30,4
290,20,40,40,4.5
291,20,40,50,6
292,20,40,60,8
293,20,40,70,10
294,20,40,80,13
295,20,40,90,18
296,20,40,100,21
297,20,50,0,5
298,20,50,10,5
299,20,50,20,5.5
300,20,50,30,6
301,20,50,40,7
302,20,50,50,8
303,20,50,60,10
304,20,50,70,12
305,20,50,80,16
306,20,50,90,20
307,20,50,100,23
308,20,60,0,8
309,20,60,10,9
310,20,60,20,10
311,20,60,30,10
312,20,60,40,10
313,20,60,50,11
314,20,60,60,13
315,20,60,70,15
316,20,60,80,19
317,20,60,90,23
318,20,60,100,26
319,20,70,0,13
320,20,70,10,13
321,20,70,20,13
322,20,70,30,14
323,20,70,40,15
324,20,70,50,16
325,20,70,60,18
326,20,70,70,20
327,20,70,80,24
328,20,70,90,28
329,20,70,100,31
330,20,80,0,18
331,20,80,10,19
332,20,80,20,19
333,20,80,30,19
334,20,80,40,20
335,20,80,50,21.5
336,20,80,60,23
337,20,80,70,26
338,20,80,80,29
339,20,80,90,33
340,20,80,100,37
341,20,90,0,27
342,20,90,10,27
343,20,90,20,27
344,20,90,30,27
345,20,90,40,28
346,20,90,50,29
347,20,90,60,31
348,20,90,70,34
349,20,90,80,38
350,20,90,90,42
351,20,90,100,45
352,20,100,0,29
353,20,100,10,29
354,20,100,20,29
355,20,100,30,30
356,20,100,40,31
357,20,100,50,32
358,20,100,60,34
359,20,100,70,36
360,20,100,80,40
361,20,100,90,44
362,20,100,100,47
363,30,0,0,1
364,30,0,10,1
365,30,0,20,1
366,30,0,30,2
367,30,0,40,2
368,30,0,50,3
369,30,0,60,5
370,30,0,70,8
371,30,0,80,11
372,30,0,90,15
373,30,0,100,18
374,30,10,0,1
