sec,R_%,G_%,B_%,lux
1130,90,30,80,22
1131,90,30,90,26
1132,90,30,100,29
1133,90,40,0,13
1134,90,40,10,13
1135,90,40,20,13
1136,90,40,30,14
1137,90,40,40,15
1138,90,40,50,16
1139,90,40,60,18
1140,90,40,70,20
1141,90,40,80,23
1142,90,40,90,28
1143,90,40,100,31
1144,90,50,0,15
1145,90,50,10,15
1146,90,50,20,16
1147,90,50,30,16
1148,90,50,40,17
1149,90,50,50,18
1150,90,50,60,20
1151,90,50,70,22
1152,90,50,80,26
1153,90,50,90,30
1154,90,50,100,33
1155,90,60,0,18
1156,90,60,10,19
1157,90,60,20,19
1158,90,60,30,20
1159,90,60,40,21
1160,90,60,50,22
1161,90,60,60,23
1162,90,60,65,24
1163,90,60,70,26
1164,90,60,75,27
,90,60,80,29
,90,60,85,31
,90,60,90,33
,90,60,95,36
1165,90,60,100,36
,90,65,0,20
,90,65,60,25.5
,90,65,65,26
,90,65,70,28
,90,65,75,29
,90,65,80,31
,90,65,85,34
,90,65,90,35
,90,65,95,38
,90,65,100,38
1166,90,70,0,23
1167,90,70,10,23
1168,90,70,20,23
1169,90,70,30,24
1170,90,70,40,25
1171,90,70,50,26
1172,90,70,60,27
1173,90,70,65,29
1174,90,70,70,30
1175,90,70,75,32
,90,70,80,34
,90,70,85,36
,90,70,90,38
,90,70,95,41
1176,90,70,100,41
,90,75,0,25
,90,75,60,31
,90,75,65,32
,90,75,70,33
,90,75,75,35
,90,75,80,37
,90,75,85,39
,90,75,90,41
,90,75,95,44
,90,75,100,44
1177,90,80,0,29
1178,90,80,10,29
1179,90,80,20,29
1180,90,80,30,29
1181,90,80,40,30
1182,90,80,50,31
1183,90,80,60,33
1184,90,80,65,34
1185,90,80,70,36
1186,90,80,75,38
,90,80,80,40
,90,80,85,41
,90,80,90,44
,90,80,95,47
1187,90,80,100,47
,90,85,0,32
,90,85,60,37.5
,90,85,65,38
,90,85,70,40
,90,85,75,41
,90,85,80,43
,90,85,85,46
,90,85,90,47
,90,85,95,50
,90,85,100,50
1188,90,90,0,37
1189,90,90,10,37
1190,90,90,20,37
1191,90,90,30,38
1192,90,90,40,38
1193,90,90,50,40
1194,90,90,60,41
1195,90,90,65,43
1196,90,90,70,44
1197,90,90,75,46
,90,90,80,47
,90,90,85,50
,90,90,90,52
,90,90,95,55
1198,90,90,100,55
,90,95,0,38
,90,95,60,44
,90,95,65,45
,90,95,70,46
,90,95,75,48
,90,95,80,50
,90,95,85,52
,90,95,90,54
,90,95,95,56
,90,95,100,57
1199,90,100,0,39
1200,90,100,10,39
1201,90,100,20,39
1202,90,100,30,39
1203,90,100,40,40
1204,90,100,50,42
1205,90,100,60,43
1206,90,100,65,45
1207,90,100,70,46
1208,90,100,75,48
,90,100,80,50
,90,100,85,52
,90,100,90,54
,90,100,95,56
1209,90,100,100,56
1210,100,0,0,11
1211,100,0,10,11
1212,100,0,20,11
1213,100,0,30,12
1214,100,0,40,13
1215,100,0,50,14
1216,100,0,60,15
1217,100,0,65,16
1218,100,0,70,18
1219,100,0,75,19
,100,0,80,21
,100,0,85,23
,100,0,90,25
,100,0,95,28.5
1220,100,0,100,29
1221,100,10,0,11
1222,100,10,10,11
1223,100,10,20,11
1224,100,10,30,12
1225,100,10,40,13
1226,100,10,50,14
1227,100,10,60,16
1228,100,10,70,18
1229,100,10,80,21
1230,100,10,90,26
1231,100,10,100,29
1232,100,20,0,12
1233,100,20,10,11
1234,100,20,20,12
1235,100,20,30,12
1236,100,20,40,13
1237,100,20,50,14
1238,100,20,60,16
1239,100,20,70,19
1240,100,20,80,22
1241,100,20,90,26
1242,100,20,100,29
1243,100,30,0,12
1244,100,30,10,12
1245,100,30,20,12
1246,100,30,30,13
1247,100,30,40,14
1248,100,30,50,15
1249,100,30,60,17
1250,100,30,70,19
1251,100,30,80,23
1252,100,30,90,27
1253,100,30,100,30
1254,100,40,0,14
1255,100,40,10,14
1256,100,40,20,14
1257,100,40,30,14
1258,100,40,40,15
1259,100,40,50,16
1260,100,40,60,18
1261,100,40,70,21
1262,100,40,80,24
1263,100,40,90,28
1264,100,40,100,31
1265,100,50,0,16
1266,100,50,10,16
1267,100,50,20,16
1268,100,50,30,16
1269,100,50,40,17
1270,100,50,50,18.5
1271,100,50,60,21
1272,100,50,70,23
1273,100,50,80,27
1274,100,50,90,31
1275,100,50,100,33.5
1276,100,60,0,19
1277,100,60,10,19
1278,100,60,20,20
1279,100,60,30,20
1280,100,60,40,21
1281,100,60,50,22
1282,100,60,60,24
1283,100,60,65,25
1284,100,60,70,26
1285,100,60,75,28
,100,60,80,29.5
,100,60,85,32
,100,60,90,34
,100,60,95,37
1286,100,60,100,37
,100,65,0,21
,100,65,60,26
,100,65,65,27
,100,65,70,28.5
,100,65,75,30.5
,100,65,80,32
,100,65,85,34
,100,65,90,36
,100,65,95,39
,100,65,100,39
1287,100,70,0,23
1288,100,70,10,24
1289,100,70,20,24
1290,100,70,30,25
1291,100,70,40,26
1292,100,70,50,27
1293,100,70,60,28
1294,100,70,65,30
1295,100,70,70,31
1296,100,70,75,33
,100,70,80,35
,100,70,85,37
,100,70,90,39
,100,70,95,42
1297,100,70,100,42
,100,75,0,26
,100,75,60,31
,100,75,65,32
,100,75,70,34
,100,75,75,36
,100,75,80,37
,100,75,85,40
,100,75,90,41
,100,75,95,44.5
,100,75,100,44.5
1298,100,80,0,29
1299,100,80,10,29
1300,100,80,20,30
1301,100,80,30,30
1302,100,80,40,31
1303,100,80,50,32.5
1304,100,80,60,34
1305,100,80,65,35
1306,100,80,70,36.5
1307,100,80,75,38
,100,80,80,40
,100,80,85,43
,100,80,90,44.5
,100,80,95,47
1308,100,80,100,47
,100,85,0,33
,100,85,60,38
,100,85,65,39
,100,85,70,40.5
,100,85,75,42.5
,100,85,80,44
,100,85,85,46
,100,85,90,48
,100,85,95,51
,100,85,100,51
1309,100,90,0,37
1310,100,90,10,37
1311,100,90,20,38
1312,100,90,30,38
1313,100,90,40,39
1314,100,90,50,40
1315,100,90,60,42
1316,100,90,65,43
1317,100,90,70,45
1318,100,90,75,46.5
,100,90,80,48
,100,90,85,51
,100,90,90,52
,100,90,95,55
1319,100,90,100,55
,100,95,0,39
,100,95,60,44
,100,95,65,45
,100,95,70,47
,100,95,75,48
,100,95,80,50
,100,95,85,52
,100,95,90,54
,100,95,95,57
,100,95,100,57
1320,100,100,0,39
1321,100,100,10,39
1322,100,100,20,40
1323,100,100,30,40
1324,100,100,40,41
1325,100,100,50,42
1326,100,100,60,44
1327,100,100,65,45
1328,100,100,70,47
1329,100,100,75,48
,100,100,80,50
,100,100,85,52
,100,100,90,54
,100,100,95,57
1330,100,100,100,57
,65,0,0,4
,65,0,60,8
,65,0,65,9.5
,65,0,70,10
,65,0,75,12
,65,0,80,14
,65,0,85,16
,65,0,90,18
,65,0,95,21
,65,0,100,21
,65,60,0,12
,65,60,60,17
,65,60,65,18
,65,60,70,19
,65,60,75,21
,65,60,80,23
,65,60,85,25
,65,60,90,27
,65,60,95,30
,65,60,100,30
,65,65,0,14
,65,65,60,19
,65,65,65,20
,65,65,70,21
,65,65,75,23
,65,65,80,25
,65,65,85,27
,65,65,90,29
,65,65,95,32
,65,65,100,32
,65,70,0,17
,65,70,60,21
,65,70,65,23
,65,70,70,24
,65,70,75,26
,65,70,80,28
,65,70,85,29.5
,65,70,90,32
,65,70,95,35
,65,70,100,35
,65,75,0,19
,65,75,60,24
,65,75,65,25
,65,75,70,27
,65,75,75,28
,65,75,80,30
,65,75,85,32
,65,75,90,34
,65,75,95,37
,65,75,100,37
,65,80,0,22
,65,80,60,27
,65,80,65,28
,65,80,70,30
,65,80,75,31
,65,80,80,33
,65,80,85,35
,65,80,90,38
,65,80,95,40
,65,80,100,40
,65,85,0,26
,65,85,60,31
,65,85,65,32
,65,85,70,33
,65,85,75,35
,65,85,80,37
,65,85,85,40
,65,85,90,41
,65,85,95,44
,65,85,100,44
,65,90,0,30.5
,65,90,60,35
,65,90,65,37
,65,90,70,38
,65,90,75,40
,65,90,80,41.5
,65,90,85,43
,65,90,90,46
,65,90,95,48
,65,90,100,48
,65,95,0,32
,65,95,60,37
,65,95,65,38
,65,95,70,40
,65,95,75,41
,65,95,80,43
,65,95,85,46
,65,95,90,47
,65,95,95,50
,65,95,100,50
,65,100,0,32
,65,100,60,37
,65,100,65,38
,65,100,70,40
,65,100,75,42
,65,100,80,44
,65,100,85,45
,65,100,90,48
,65,100,95,50
,65,100,100,50
,75,0,0,6
,75,0,60,10
,75,0,65,11
,75,0,70,13
,75,0,75,14
,75,0,80,16
,75,0,85,18
,75,0,90,20
,75,0,95,23
,75,0,100,23
,75,60,0,14
,75,60,60,19
,75,60,65,20
,75,60,70,21.5
,75,60,75,23
,75,60,80,25
,75,60,85,27
,75,60,90,28.5
,75,60,95,32
,75,60,100,32
,75,65,0,16
,75,65,60,21
,75,65,65,22
,75,65,70,23.5
,75,65,75,25
,75,65,80,27
,75,65,85,29
,75,65,90,31
,75,65,95,34
,75,65,100,34
,75,70,0,18
,75,70,60,23
,75,70,65,24
,75,70,70,26
,75,70,75,27
,75,70,80,30
,75,70,85,32
,75,70,90,34
,75,70,95,37
,75,70,100,37
,75,75,0,21
,75,75,60,26
,75,75,65,27
,75,75,70,29
,75,75,75,30
,75,75,80,32
,75,75,85,34
,75,75,90,36
,75,75,95,40
,75,75,100,39.5
,75,80,0,24
,75,80,60,29
,75,80,65,30
,75,80,70,32
,75,80,75,33
,75,80,80,35
,75,80,85,38
,75,80,90,39
,75,80,95,42
,75,80,100,42
,75,85,0,28
,75,85,60,33
,75,85,65,34
,75,85,70,35
,75,85,75,37
,75,85,80,39
,75,85,85,42
,75,85,90,43
,75,85,95,46
,75,85,100,46
,75,90,0,32
,75,90,60,38
,75,90,65,38
,75,90,70,40
,75,90,75,41
,75,90,80,43
,75,90,85,46
,75,90,90,48
,75,90,95,50
,75,90,100,50
,75,95,0,34
,75,95,60,39
,75,95,65,40
,75,95,70,42
,75,95,75,43.5
,75,95,80,45
,75,95,85,47
,75,95,90,49
,75,95,95,52
,75,95,100,52
,75,100,0,34
,75,100,60,39
,75,100,65,40
,75,100,70,42
,75,100,75,43
,75,100,80,45
,75,100,85,48
,75,100,90,50
,75,100,95,52
,75,100,100,52
,85,0,0,8
,85,0,60,13
,85,0,65,14
,85,0,70,15
,85,0,75,16.5
,85,0,80,18
,85,0,85,21
,85,0,90,23
,85,0,95,26
,85,0,100,26
,85,60,0,16
,85,60,60,21
,85,60,65,23
,85,60,70,24
,85,60,75,26
,85,60,80,27.5
,85,60,85,29
,85,60,90,32
,85,60,95,34
,85,60,100,35
,85,65,0,19
,85,65,60,24
,85,65,65,25
,85,65,70,26
,85,65,75,27
,85,65,80,30
,85,65,85,32
,85,65,90,34
,85,65,95,37
,85,65,100,37
,85,70,0,21
,85,70,60,26
,85,70,65,27
,85,70,70,29
,85,70,75,30
,85,70,80,32
,85,70,85,35
,85,70,90,36
,85,70,95,39
,85,70,100,39
,85,75,0,24
,85,75,60,29
,85,75,65,30
,85,75,70,31
,85,75,75,33
,85,75,80,35
,85,75,85,37
,85,75,90,39
,85,75,95,42
,85,75,100,42
,85,80,0,27
,85,80,60,32
,85,80,65,33
,85,80,70,34
,85,80,75,36
,85,80,80,38
,85,80,85,40
,85,80,90,42
,85,80,95,45
,85,80,100,45
,85,85,0,30
,85,85,60,36
,85,85,65,37
,85,85,70,38
,85,85,75,40
,85,85,80,42
,85,85,85,44
,85,85,90,45
,85,85,95,49
,85,85,100,49
,85,90,0,35
,85,90,60,40
,85,90,65,41
,85,90,70,42
,85,90,75,44
,85,90,80,46
,85,90,85,48
,85,90,90,50
,85,90,95,53
,85,90,100,53
,85,95,0,37
,85,95,60,42
,85,95,65,43
,85,95,70,44
,85,95,75,46
,85,95,80,48
,85,95,85,50
,85,95,90,52
,85,95,95,55
,85,95,100,55
,85,100,0,37
,85,100,60,42
,85,100,65,43
,85,100,70,44
,85,100,75,46
,85,100,80,48
,85,100,85,50
,85,100,90,52
,85,100,95,55
,85,100,100,55
,95,0,0,11
,95,0,60,15
,95,0,65,17
,95,0,70,18
,95,0,75,19
,95,0,80,21
,95,0,85,23
,95,0,90,25
,95,0,95,28
,95,0,100,29
,95,60,0,19
,95,60,60,24
,95,60,65,25
,95,60,70,26
,95,60,75,28
,95,60,80,30
,95,60,85,32
,95,60,90,34
,95,60,95,37
,95,60,100,37
,95,65,0,21
,95,65,60,26
,95,65,65,27
,95,65,70,29
,95,65,75,30
,95,65,80,32
,95,65,85,34
,95,65,90,36
,95,65,95,39
,95,65,100,39
,95,70,0,23
,95,70,60,28
,95,70,65,30
,95,70,70,31
,95,70,75,33
,95,70,80,35
,95,70,85,36
,95,70,90,39
,95,70,95,41
,95,70,100,42
,95,75,0,26
,95,75,60,31
,95,75,65,32
,95,75,70,34
,95,75,75,35
,95,75,80,37
,95,75,85,40
,95,75,90,42
,95,75,95,44
,95,75,100,44
,95,80,0,29
,95,80,60,34
,95,80,65,35
,95,80,70,37
,95,80,75,38
,95,80,80,40
,95,80,85,43
,95,80,90,44.5
,95,80,95,47
,95,80,100,47
,95,85,0,33
,95,85,60,38
,95,85,65,39
,95,85,70,40
,95,85,75,42
,95,85,80,44
,95,85,85,46
,95,85,90,48
,95,85,95,51
,95,85,100,51
,95,90,0,37
,95,90,60,42
,95,90,65,43
,95,90,70,45
,95,90,75,47
,95,90,80,48
,95,90,85,50
,95,90,90,53
,95,90,95,55
,95,90,100,55
,95,95,0,39
,95,95,60,44
,95,95,65,45
,95,95,70,47
,95,95,75,48
,95,95,80,50
,95,95,85,52
,95,95,90,54
,95,95,95,57
,95,95,100,57
,95,100,0,39
,95,100,60,44
,95,100,65,45
,95,100,70,47
,95,100,75,48
,95,100,80,50
,95,100,85,52
,95,100,90,55
,95,100,95,57
,95,100,100,57
