participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
Xd3foP9,LP_7,0.0003947932598628788,0.004555933514769761,0.012138472948221395,0.024545648395586615,62.813101341620836,56.59966476453647,-0.13770852730020344,0.25275320544940744,,-0.0003970833153166015
Xd3foP9,LN_1,0.00012917200644920582,0.00015321424484183763,0.00011426452451729008,2.2917388388269755e-05,54.60804440625329,19.9399672324853,0.0013161834244906276,0.0003259107789655867,0.00010141916656918607,2.020254117330516e-05
Xd3foP9,HN_2_H,0.21192437139353956,0.4717351766658176,0.17465380094982105,0.3799548611468667,-1.7275061425905078,-1.7339115917005028,0.41270671067698383,0.9086848399852372,,8.230583941987049e-05
Xd3foP9,HN_2_L,0.001467932435168607,0.0035124196809212553,0.0033475900719079606,0.009250884602155373,8.378384482516672,7.2350398886395375,0.015877483305335224,0.041185422159672885,9.663477411072971e-05,6.466958456062042e-05
Xd3foP9,HN_9,0.2909616984879839,0.6409850821467585,0.17728669512874803,0.38988731325888026,-1.048022087410142,-1.0446255131689395,0.4131826028131293,0.9090997731351605,0.0001013169715641229,-8.373584307489906e-07
Xd3foP9,LP_3,0.09478276157131957,0.20974277904804836,0.16423281195601375,0.3610188197853109,-0.16800401705265333,-0.1718079261538934,0.4131034346253522,0.9089924049108199,,2.7554490554884356e-05
Xd3foP9,HP_5,0.16560728825837923,0.3749212017317096,0.1980298709023402,0.44684664272093355,-1.8490397988974838,-1.8599619784336956,0.4126633877823267,0.9089804109922176,,-0.1764028489640022
Xd3foP9,HP_4,0.2033579258595296,0.4487506519043017,0.17434071949358657,0.3829559755411638,-1.740442911415501,-1.7397449000972256,0.413077437245782,0.9088950190262718,,0.00012453642091316385
Xd3foP9,LN_5,0.00011001229302318992,0.0001619810937011489,5.954840899489851e-06,1.450476676409044e-05,3.76509449484623,1.5881178128296778,0.00013822723947918018,0.0002105863463863511,0.00010030599208788658,0.0001110327024621752
Xd3foP9,LP_5,0.1877691484230186,0.4140937636954647,0.1810387839837048,0.3982871036928659,-1.8629624758869774,-1.8628456181337905,0.41293110813032735,0.9086797453064699,0.00010453038976508249,1.1111574403601914e-05
Xd3foP9,LN_6,0.00010837880555932186,0.0001546283034592607,4.967876066494497e-06,9.28952662714701e-06,4.671825083303721,2.754870759935998,0.00013351541630421385,0.00017452627909442134,0.00010086430140311968,0.00011343768020619102
Xd3foP9,HP_9,0.3236751768635693,0.728250100281683,0.15577030302806047,0.34603119866943294,0.6700055787499153,0.7642552063840764,0.4130488465733423,0.9089163580934578,,-0.24432690138356414
Xd3foP9,HP_2,0.21525234021561226,0.47801829640457855,0.18612267212817007,0.4120254753000741,-1.884289005139433,-1.8806240878474774,0.41315160227571895,0.9090399513660065,,-1.4394290476268704e-05
Xd3foP9,HN_5,-0.01681000438552682,-0.034947354587337526,0.06642837854875581,0.13783303537676064,4.456853375938533,4.278337910924402,-0.24281525671975213,0.4077217170354118,,-0.4832148753860727
Xd3foP9,LP_1,0.21637423666077132,0.47714427171979495,0.19457766549831929,0.4281887276543549,-1.917585772525225,-1.915967625346235,0.4129681823721017,0.908960715621685,,-0.019397960374477163
Xd3foP9,LP_4,-0.010243955069657222,-0.020254422608214705,0.059912478814531746,0.12178609651750821,9.428455843163501,8.741920978530286,-0.2585705866713093,0.14167829855595643,,-0.5163975939204055
Xd3foP9,HN_7,0.0001997604708349045,0.00010099651642426756,8.86417014615511e-05,3.8495350284660114e-05,11.091349267490372,5.4442026290577985,0.0006730345251391364,0.00014138993009755676,0.00011899585132704507,-7.894798781660781e-05
