,simuli_name_1,Participant,avg_max,avg_min,avg_mean,avg_std,avg_kurtosis,avg_skewness,avg_auc,corr_max,corr_min,corr_mean,corr_std,corr_kurtosis,corr_skewness,corr_auc,diff_max,diff_min,diff_mean,diff_std,diff_kurtosis,diff_skewness,diff_auc,simuli_name_2,Valence,Arousal
0,HN_1,22DFx,4.206929186062485,2.793100232109598,3.8319687145384544,0.2669888082332426,4.323496521212031,-1.9992890919585777,2441.411113504945,3.994813939219998,3.550639180230554,3.8307021001433808,0.10808826680008535,,,,0.21211524684248717,-0.7575389481209558,0.0012666143950736952,0.15890054143315727,,,,HN_1,-0.26769,0.252542
1,HN_2_H,22DFx,4.467176429488114,3.1859297639113,3.989162287377021,0.304541208538043,0.12474627946182881,-0.7548235747224176,1894.900182631833,4.221296722861879,3.6003089904778323,3.874511506073231,0.14774280040573812,1.4375181670793626,1.647945632452959,1840.2748334332796,0.24587970662623437,-0.4143792265665325,0.11465078130379025,0.1567984081323049,-1.3127718876175338,-2.4027692071753766,54.62534919855352,HN_2_H,-0.179573,0.412564
2,HN_2_L,22DFx,4.065013880538546,2.755462374362604,3.5460317832065433,0.3385131700774811,-0.5719781756008149,-0.33405880132276616,698.7722967019224,3.8762740088318974,3.753285773793009,3.806427968532878,0.03351944814726571,,,,0.1887398717066482,-0.9978233994304051,-0.2603961853263348,0.3049937219302154,,,,HN_2_L,-0.044951,0.354757
3,HN_3_H,22DFx,4.37919409416307,3.2101763575648765,3.875111140543061,0.19292359156563194,0.6864436365127919,-0.4149961149730066,3944.607660406171,4.240124216001703,3.337078201158513,3.850138068144326,0.11655756769647413,5.637553593127125,0.4652261279137665,3919.234438088232,0.13906987816136684,-0.12690184359363643,0.02497307239873514,0.0763660238691578,-4.951109956614333,-0.8802222428867731,25.373222317939053,HN_3_H,-0.174053,0.41726
4,HN_3_L,22DFx,3.911940415150843,2.9835830707451465,3.6699300484053605,0.22682088668058306,2.0717662844807316,-1.7148962613101535,1053.5069187488184,3.887924184351614,3.5574272600163197,3.767837288861023,0.08828462899454316,,,,0.0240162307992291,-0.5738441892711732,-0.09790724045566268,0.1385362576860399,,,,HN_3_L,-0.024475,0.35846
5,HN_4,22DFx,3.6317223933141256,2.8462499745639134,3.186909431409981,0.19503879335652624,-0.7658400646383354,0.22116982607986616,1944.144779608439,3.2298382563277066,3.164230985814098,3.1869087676450936,0.013967050387492215,,,,0.401884136986419,-0.3179810112501844,6.637648874985302e-07,0.18107174296903403,,,,HN_4,-0.133366,0.373785
6,HN_5,22DFx,4.204455674415163,2.8921617545033955,3.601274328302302,0.3243765923538377,-0.10695067569573524,-0.2858360915020697,2135.8648357424654,4.256389511748735,2.918148189793944,3.601046021405083,0.1725561400464727,,,,-0.051933837333572264,-0.02598643529054856,0.00022830689721908826,0.151820452307365,,,,HN_5,-0.168005,0.296258
7,HN_6,22DFx,3.2496810491466173,2.687475804238407,2.933359886080907,0.10890910788700804,-0.38875220437687874,0.3247852218249051,2079.75513841309,3.088560438008464,2.855303512810212,2.9334022333167464,0.038645720126827064,,,,0.16112061113815335,-0.16782770857180518,-4.2347235839290676e-05,0.07026338776018098,,,,HN_6,-0.239497,0.171131
8,HN_7,22DFx,4.01222971949174,3.06412024793898,3.6571466482624704,0.24647913826132725,-1.355287502231371,-0.2583628627554527,1005.8660467856578,3.879640987041626,3.540854868932035,3.6802741142185704,0.06579255743481412,,,,0.1325887324501136,-0.4767346209930552,-0.023127465956100046,0.18068658082651312,,,,HN_7,-0.197653,-0.159118
9,HN_9,22DFx,3.4918936024251392,2.668339402621431,3.056373179528457,0.18963389410490525,-0.8446257073584009,0.06765503555835577,3927.4786428817497,3.2572508721510065,2.914048909846486,3.0566720405603527,0.09230987523070198,,,,0.23464273027413274,-0.24570950722505502,-0.00029886103189546986,0.09732401887420326,,,,HN_9,-0.183556,-0.225927
10,HP_1_L,22DFx,3.5384277011749576,2.8863033976279246,3.2546498308960654,0.1502740748208005,0.1907100280718219,-0.7395189246302808,832.9289351373334,3.418981133285143,3.2601729757796254,3.3332896157805947,0.03077447356055254,-0.10221714835015483,0.35796733043750695,853.306731900618,0.11944656788981467,-0.37386957815170074,-0.07863978488452927,0.11949960126024795,0.29292717642197674,-1.0974862550677877,-20.377796763284664,HP_1_L,0.056916,-0.359364
11,HP_1_H,22DFx,3.7840222896855504,2.995522530959831,3.4200633800467366,0.18400153736003302,-0.8585426146893771,-0.041349017096420415,2247.155818839775,3.5651888943496104,3.217416171336992,3.3934317346377605,0.06811869785333112,,,,0.21883339533594004,-0.2218936403771612,0.026631645408976112,0.1158828395067019,,,,HP_1_H,0.153726,0.299871
12,HP_2,22DFx,3.066390044264672,2.6963378201534445,2.869203187989649,0.07743846618128919,-0.5517352519161349,0.06951871715776348,1144.750563148972,2.908901150283897,2.8054870043879427,2.8618302953879664,0.022272096173538942,0.08576616223998146,-0.6870101594058917,1141.8751432042222,0.15748889398077504,-0.10914918423449826,0.007372892601682501,0.05516637000775025,-0.6375014141561164,0.7565288765636552,2.875419944749865,HP_2,0.196512,0.101342
13,HP_3_L,22DFx,3.8651933578774855,2.8306037770792267,3.4569820607953723,0.2597338176039119,-0.18437923405379975,-0.6417158914748113,2821.058719004407,3.561750509696575,3.265853934057816,3.417496504291512,0.05686159123994025,,,,0.3034428481809104,-0.43525015697858915,0.03948555650386032,0.20287222636397165,,,,HP_3_L,0.088646,-0.340245
14,HP_3_H,22DFx,3.3525845141461748,2.948934354737069,3.1943765042489645,0.12642859268616735,-1.0848182921801046,-0.5738065785137868,440.700828901305,3.583639876762614,3.2620220321375197,3.4250529736532878,0.059389662555703535,0.8786640419675167,-0.6054444182870069,472.6636650102687,-0.2310553626164391,-0.31308767740045074,-0.2306764694043233,0.06703893013046382,-1.9634823341476213,0.0316378397732201,-31.9628361089637,HP_3_H,0.184696,0.308662
15,HP_4,22DFx,3.5442988952016607,2.7704626357660103,3.020990562593148,0.13117864684471037,5.270482080957223,1.9137186493030507,1785.2613428824852,3.3026805416689404,2.953667261142801,3.0279172023089553,0.10575512384555863,,,,0.24161835353272032,-0.18320462537679072,-0.0069266397158074255,0.025423522999151738,,,,HP_4,0.165377,0.191996
16,HP_5,22DFx,3.5289812580675424,2.778093443561488,3.1078088645923656,0.15109539041716127,-0.08973211434030759,-0.08175269571256104,1149.8704450386097,3.2494996581374544,2.8561540481691,3.107487215569638,0.09656186303170396,,,,0.2794815999300879,-0.07806060460761177,0.000321649022727577,0.05453352738545732,,,,HP_5,0.14705,0.236736
