participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
EXAMPLE,HP_2,0.985871583,0.039181673,0.099650049,0.025256376,62.13108485,3.406984458,1,0.087431607,0.003528438,-0.10443648
EXAMPLE,HP_9,0.658888563,0.561208661,0.232123406,0.428788116,-1.265209687,-1.295665674,0.999999993,0.89574315,0.003095627,-0.211934955
EXAMPLE,LN_3,0.942775212,0.200926899,0.094238658,0.223120631,35.97658606,-1.03019906,1,0.640164651,0.004750827,-0.161868765
EXAMPLE,HN_1,0.880826448,-0.450723945,0.070025026,0.072831649,74.71348838,4.684325024,0.953939569,-0.004743872,0.012298406,-0.584504949
EXAMPLE,HP_3_L,0.9682185,-0.140208972,0.110981494,0.107997529,52.7243845,-0.959327452,0.99827744,0.010692894,0.001536163,-0.325825881
EXAMPLE,HP_3_H,0.333966681,0.867006586,0.184719695,0.280066716,4.314238225,9.357541313,0.999989838,0.999999663,,-0.243756228
EXAMPLE,LN_4,0.990857107,-0.113393122,0.032168999,0.048725898,510.6630498,4.205581256,0.99762917,-0.008250351,0.020758648,-0.364955089
EXAMPLE,HN_7,0.945023196,-0.312654948,0.051195979,0.031267446,188.8918238,12.21539715,0.962784075,-0.0081687,0.01942714,-0.389570692
EXAMPLE,HP_7_H,0.971136119,-0.054906336,0.0797921,0.211237389,23.72256006,7.913860992,0.9999999,0.787139505,0.032161836,-0.285154618
EXAMPLE,HP_7_L,0.816377104,0.151365273,0.254565277,0.282232999,1.865262381,-0.85906628,0.999992482,0.729028076,0.005470903,-0.196329512
EXAMPLE,LP_6,0.990366067,-0.096970737,0.054721491,0.025549507,179.4964217,57.5762621,0.997182552,-0.005499242,0.013960225,-0.346965344
EXAMPLE,LN_6,0.978414544,0.003566232,0.097298072,0.120722831,49.94730054,3.059622239,1,0.346824284,0.006895454,-0.11382024
EXAMPLE,LN_9,0.122476844,0.617758461,0.579588533,0.514913174,-1.341992046,-1.246608977,0.999994711,0.999999924,,-0.203245128
EXAMPLE,HP_6,0.965474935,-0.147294549,0.099388013,0.13272966,50.87174885,-1.367855944,0.999999996,0.038599726,0.005064029,-0.35003076
