participant,video,Pupil_size
7yqP3,HN_1,0.0005651976215492738
7yqP3,HN_2_H,0.23458640331387492
7yqP3,HN_2_L,-0.5595705227699441
7yqP3,HN_3_H,0.02898114587762013
7yqP3,HN_3_L,-0.03202415895318955
7yqP3,HN_4,-7.26009143248163e-06
7yqP3,HN_5,-1.8726165254001614e-05
7yqP3,HN_6,-8.543516427206299e-06
7yqP3,HN_7,0.000556783320298404
7yqP3,HN_9,-2.333498124063027e-05
7yqP3,HP_1_L,-0.0641281172187318
7yqP3,HP_1_H,0.028761647169965432
7yqP3,HP_2,-7.606854006692032e-05
7yqP3,HP_3_L,-0.010898204985590354
7yqP3,HP_3_H,0.06204963967505783
7yqP3,HP_4,0.00022982833478923936
7yqP3,HP_5,0.00027667945031373264
7yqP3,HP_6,0.0007244865686146795
7yqP3,HP_7_H,0.08478579796445151
7yqP3,HP_7_L,-0.1438089467618795
7yqP3,HP_9,9.963485398101213e-05
7yqP3,LN_1,-2.9551064639754543e-06
7yqP3,LN_2,0.00017686609515044083
7yqP3,LN_3,-9.226288914643277e-05
7yqP3,LN_4,3.0443218967945995e-07
7yqP3,LN_5,0.0004703896618898362
7yqP3,LN_6,0.0002009012412145239
7yqP3,LN_7_N,0.11729359582738752
7yqP3,LN_7_P,-0.22802034497940715
7yqP3,LN_9,0.0001755862163199673
7yqP3,LP_1,0.0005752349119676481
7yqP3,LP_2,-4.780423599992645e-05
7yqP3,LP_3,0.0012845465441100323
7yqP3,LP_4,0.0001065198474257123
7yqP3,LP_5,0.0008222871064824666
7yqP3,LP_6,9.741559217957274e-06
7yqP3,LP_7,-6.0318834607997474e-05
7yqP3,LP_9,9.388123378162305e-05
F5tXL,HN_1,-0.005538117677482912
F5tXL,HN_2_H,0.032038884092545405
F5tXL,HN_2_L,-0.0767403645187148
F5tXL,HN_3_H,-0.03937971131213924
F5tXL,HN_3_L,0.030994489930873836
F5tXL,HN_4,-0.0002387630408153818
F5tXL,HN_5,1.834427068425626e-05
F5tXL,HN_6,0.0004341485935608347
F5tXL,HN_7,-0.00018842283592590547
F5tXL,HN_9,4.39056232783841e-05
F5tXL,HP_1_L,0.06490159862334632
F5tXL,HP_1_H,-0.02759093773925425
F5tXL,HP_2,0.00015906288828482218
F5tXL,HP_3_L,-0.040656375578898896
F5tXL,HP_3_H,0.2721688377998235
F5tXL,HP_4,0.0002823075984119683
F5tXL,HP_5,0.0007486713087718755
F5tXL,HP_6,0.000787965551353853
F5tXL,HP_7_H,0.004066512032306235
F5tXL,HP_7_L,-0.005665606191695094
F5tXL,HP_9,-4.862482135337132e-05
F5tXL,LN_1,-2.660497044004728e-06
F5tXL,LN_2,4.981134333048587e-05
F5tXL,LN_3,8.419009071092276e-05
F5tXL,LN_4,3.852660158365495e-05
F5tXL,LN_5,-1.018526795304453e-05
F5tXL,LN_6,5.2385971961221856e-05
F5tXL,LN_7_N,0.012375116173701795
F5tXL,LN_7_P,-0.023553996661332732
F5tXL,LN_9,-5.420203968453663e-05
F5tXL,LP_1,0.0004996601750315577
F5tXL,LP_2,8.643726250934236e-05
F5tXL,LP_3,0.0010039672546793277
F5tXL,LP_4,-0.00019909561485942362
F5tXL,LP_5,0.001609535921011318
F5tXL,LP_6,2.3008571270466405e-06
F5tXL,LP_7,-8.535294488964951e-07
F5tXL,LP_9,-0.00028254195206356414
Gax8,HN_1,0.0033004636388049846
Gax8,HN_2_H,0.22751451141220524
Gax8,HN_2_L,-0.5346444211720343
Gax8,HN_3_H,0.07437201152684736
Gax8,HN_3_L,-0.05428810176460219
Gax8,HN_4,0.00014396428316576504
Gax8,HN_5,8.397625361622474e-05
Gax8,HN_6,0.0005350575282507819
Gax8,HN_7,0.0012368509075950662
Gax8,HN_9,-1.9357802634178967e-05
Gax8,HP_1_L,-0.05253322465826393
Gax8,HP_1_H,0.02301845529692237
Gax8,HP_2,-3.0190253148987267e-05
Gax8,HP_3_L,-0.04418566984937211
Gax8,HP_3_H,0.23829040608249796
Gax8,HP_4,0.0007851231505258127
Gax8,HP_5,0.0008246784583980649
Gax8,HP_6,0.0008440116245664875
Gax8,HP_7_H,0.017401396746723474
Gax8,HP_7_L,-0.033738721050332376
Gax8,HP_9,8.209146235227394e-06
Gax8,LN_1,2.4326290110288085e-05
Gax8,LN_2,-0.000983721050825448
Gax8,LN_3,-3.0522393602794295e-05
Gax8,LN_4,0.00023216055989383477
Gax8,LN_5,0.00041879224060359377
Gax8,LN_6,-8.497943235941108e-05
Gax8,LN_7_N,0.054059447107495995
Gax8,LN_7_P,-0.10528970791476944
Gax8,LN_9,-0.00011146323671518132
Gax8,LP_1,0.0008398546154904096
Gax8,LP_2,-0.00013570714893296199
Gax8,LP_3,-0.0008032606018848476
Gax8,LP_4,-3.037713356812688e-05
Gax8,LP_5,0.0006563435683730745
Gax8,LP_6,0.0005422559399841376
Gax8,LP_7,5.424257468922278e-05
Gax8,LP_9,-0.0006119937112041285
Hx7dO,HN_1,0.0017309462460750602
Hx7dO,HN_2_H,0.2510594509738011
Hx7dO,HN_2_L,-0.5610101961516678
Hx7dO,HN_3_H,0.1026312469683619
Hx7dO,HN_3_L,-0.08735463767933727
Hx7dO,HN_4,0.0004986804481812435
Hx7dO,HN_5,-0.00023036535010811932
Hx7dO,HN_6,0.00035591970245629767
Hx7dO,HN_7,-0.00010986081171981965
Hx7dO,HN_9,-1.5900680342184614e-05
Hx7dO,HP_1_L,0.017221481178423037
Hx7dO,HP_1_H,-0.007226833320804982
Hx7dO,HP_2,-0.0006455559931013433
Hx7dO,HP_3_L,-0.018059822111743618
Hx7dO,HP_3_H,0.1153304761926015
Hx7dO,HP_4,0.0002567464042408929
Hx7dO,HP_5,0.0012304683174768627
Hx7dO,HP_6,0.001009165756824526
